                                 ADMISSION DATA 2013
                                      Level 7/6

              The details given are for general information only and do not
               form part of any contract. They are not intended for use in
                determining whether any individual applicant is or is not
                     entitled to an offer of a higher education place

    *         Not all on this points score were offered places
    #         Test / Interview / Portfolio etc.
   AQA        All qualified applicants
    v         New competition for Available/Vacant Places
    +         Includes Project / Portfolio Score
              Notes: The final points column shows the lowest points score
              achieved by an applicant who received an offer of a place on
              the course. The mid point is the points score of the applicant
              in the middle of a list of offerees placed in points score order.
              Applicants who are offered places might not necessarily
              accept a place. In most cases, the points scores shown here
              are based on performance in the Leaving Certificate.
              Applicants offered on mature grounds are not accounted for
              in this chart, with the exception of applicants for Mature Code
              nursing courses.
Course Code                    INSTITUTION and COURSE                             Final   Mid point
                                     ATHLONE IT
AL601         Electronics and Computer Engineering                                 205         285
AL604         Civil Engineering                                                    165         260
AL630         Pharmacy Technician                                                  305         400
AL631         Dental Nursing                                                       300         350
AL632         Science (Bioscience/Chemistry)                                       160         300
AL650         Business                                                             180         335
AL651         Music and Instrument Technology                                      230         330
AL652         Business in Equine Studies                                          AQA          285
AL653         Office Management                                                    195         260
AL654         Accounting Technician                                               AQA          340
AL655         Social Media Marketing                                               180         255
AL657         Computing for Business                                               220         365
AL660         Culinary Arts                                                        240         295
AL661         Bar Supervision                                                      150         200
AL663         Business (Sport and Recreation)                                      230         285
AL664         Applied Social Studies                                               300         360
AL665         Childcare Supervisory Management                                     290         325
AL702         Electronics and Wireless Communications                              265         310
AL703         Computer Network Management                                          190         255
AL704         Computer Engineering                                                 190         315
AL710         Mechanical Engineering                                               195         260
AL711         Mechanical Engineering and Renewable Energy                          205         300
AL712         Mechatronics                                                         200         330
AL721         Civil Engineering                                                   AQA          210
AL730         Biotechnology                                                        205         320
AL731         Veterinary Nursing                                                   435         470
AL733         Forensic Toxicology                                                  210         350
AL734         Pharmaceutical Science (Drug Development and Analysis)               195         285
AL750         Smart Technology for Business                                        205         275
AL760         Spa and Wellness Management                                          205         315
AL761   Hotel and Leisure Management                                 200   275
AL763   Design (Communications)                                     600+   880
                             CARLOW COLLEGE
PC402   Humanities                                                   200   350
PC404   Applied Social Studies in Social Care                        220   265
                                  IT CARLOW
CW006   Business Studies (Wexford)                                   230   285
CW016   Business - Office Management (Wexford)                       230   320
CW017   Applied Social Studies (Professional Social Care - Wexford)  290   355
CW037   Business (Wexford)                                           210   345
CW057   Art (Wexford) - Portfolio                                   700+   700
CW106   Physiology and Health Science                                430   480
CW107   Analytical and Forensic Science                              250   370
CW116   Pharmacy Technician Studies                                  330   365
CW117   Biosciences                                                  240   300
CW126   Science - Applied Biology or Applied Chemistry               250   355
CW206   Computing                                                    250   270
CW207   Software Development                                         290   355
CW217   Computer Systems Management                                  230   270
CW406   Civil Engineering                                            160   210
CW407   Architectural Technology                                     180   295
CW416   Construction                                                 160   265
CW417   Construction - Buildings and Services Management             200   285
CW427   Civil Engineering                                            225   315
CW507   Aircraft Systems                                             315   385
CW517   Mechanical Engineering                                       240   335
CW527   Electronic Engineering                                       215   255
CW547   TV and Media Production                                      290   380
CW706   Legal Studies                                                265   340
CW707   Design in Industrial Design                                  250   370
CW717   Applied Social Studies (Professional Social Care)            295   335
CW807   Sport and Exercise (GAA) - Portfolio                        700+   700
CW817   Sport and Exercise (Rugby) - Portfolio                      700+   700
CW827   Sport and Exercise (Soccer) - Portfolio                     700+   700
CW906   Business Studies                                             215   295
CW916   Business - Office Management                                 200   250
CW917   Business                                                     200   330
CW926   Business with Law                                            210   320
CW936   Accounting                                                   200   325
                                    CORK IT
CR001   Applied Physics & Instrumentation                            255   410
CR006   Applied Biosciences                                          300   445
CR007   Analytical and Pharmaceutical Chemistry                      260   455
CR010   Agriculture                                                  335   380
CR011   Horticulture                                                 105   260
CR016   Computing                                                    290   390
CR021   Business Studies                                             240   380
CR022   Business Administration                                      200   280
CR023   Accounting                                                   280   475
CR031   Social Care                                                  350   415
CR032   Recreation and Leisure                                       320   385
CR041   Tourism                                                      230   345
CR042   Hospitality Management                                       230   310
CR046   Transport Management and Technology (Automobile Technology) 210    245
CR051   Civil Engineering                                                  220   420
CR052   Construction                                                       200   270
CR053   Interior Architecture                                              205   325
CR061   Electronic Engineering                                             220   400
CR062   Electrical Engineering                                             220   335
CR071   Mechanical Engineering                                             240   370
CR072   Building Services Engineering                                      235   370
CR075   Biomedical Engineering                                             260   450
CR077   Craft Technology (Wood) with Business                              225   350
CR090   Architectural Technology                                           220   370
CR094   Nautical Science at National Maritime College of Ireland           280   380
CR095   Marine & Plant Engineering at National Maritime College of Ireland 240   365
CR300   Physical Sciences (Level 7 - Common Entry)                         260   475
CR620   Early Years Education                                              360   430
CR640   Culinary Arts                                                      300   405
CR650   Bar Management                                                     230   310
CR655   Culinary Studies                                                   210   300
CR657   Hospitality Studies                                               AQA    185
CR805   Marine Electrotechnology at National Maritime College of Ire       200   255
CR888   Information Technology Support                                     250   285
                    COLLEGE OF COMPUTER TRAINING
CT110   Computing in Information Technology                               AQA    170
CT116   Information Technology                                            AQA    210
                        DUBLIN BUSINESS SCHOOL
DB513   Business                                                           105   270
DB522   Business in Accounting                                             145   305
DB533   Business in Marketing                                              120   245
DB563   Cultural Studies                                                  AQA    260
DB571   Business Studies                                                   110   295
DB572   Business in Accounting                                             150   340
DB573   Business in Marketing                                              100   255
DB574   Business in Information Technology                                AQA    220
DB575   Social Studies                                                    AQA    265
DB576   Film and Media                                                    AQA    315
DB578   Journalism and Media                                              AQA    330
                    DUBLIN INSTITUTE of TECHNOLOGY
DT002   Engineering Systems Maintenance                                    230   300
DT003   Automation Engineering                                             250   310
DT004   Civil Engineering                                                  240   335
DT005   Building Services Engineering                                      225   270
DT006   Mechanical Engineering                                             300   385
DT007   Automotive Management and Technology                               250   300
DT008   Electronics and Communications Engineering                         240   355
DT009   Electrical and Control Engineering                                 225   315
DT010   Sustainable Design in Electrical Services Engineering              225   310
DT011   Aviation Technology                                                325   375
DT080   Networking Technologies                                            270   360
DT097   Engineering (General Entry)                                        360   460
DT104   Auctioneering, Valuation and Estate Agency                         220   300
DT169   Timber Product Technology                                          245   355
DT170   Buildings Management (Maintenance & Conservation)                  100   245
DT212   Science - Common 1st Year                                          380   485
DT259   Biosciences                                                        385   470
DT260   Industrial and Environmental Physics                               230   355
DT261   Medicinal Chemistry and Pharmaceutical Sciences               375   470
DT303   Marketing                                                     300   385
DT315   Business Studies                                              300   420
DT324   Business Management                                           300   405
DT360   Retail Management and Marketing                               280   340
DT406   Tourism Management                                           275*   360
DT408   Hospitality Management                                        280   335
