AC  American College
AD  National College of Art and Design
AH  All Hallows
AL  Athlone Institute of Technology
AS  St. Angela`s College
BN  Institute of Technology Blanchardstown
BY  IBAT College Dublin
CE  Church of Ireland College
CI  Irish College of Humanities & Applied Sciences
CK  University College Cork (NUI)
CM  Marino Institute of Education
CR  Cork Institute of Technology
CS  Saint Catherine's Sion Hill 
CT  College of Computer Technology
CW  Institute of Technology Carlow
DB  Dublin Business School & DBS School of Arts
DC  Dublin City University
DK  Dundalk Institute of Technology
DL  Dun Laoghaire Institute of Art Design and Technology
DN  University College Dublin (NUI)
DS  Dorset College
DT  Dublin Institute of Technology
FR  Froebel College
FT  Dublin Institute of Technology
GA  Galway-Mayo Institute of Technology
GB  Galway Business School
GC  Griffith College
GY  National University of Ireland Galway
IC  Griffith College Dublin Cork Limerick
ID  ICD Business School
LC  Limerick Institute of Technology
LM  University of Limerick
LY  Letterkenny Institute of Technology
MD  Mater DEI
MH  Maynooth University
MI  Mary Immaculate College
MU  Pontifical University St Patrick's College
NC  National College of Ireland (NCI)
NM  St Nicholas Montessori College Ireland
PB  Portobello College
PC  Carlow College
PD  St Patrick's Drumcondra
PI  Portobello Institute
PT  Milltown Institute
RC  Royal College of Surgeons in Ireland
SG  Institute of Technology Sligo
SN  Shannon College of Hotel Management
TA  Institute of Technology Tallaght
TH  St Patrick's Thurles
TI  Tipperary Institute
TL  Institute of Technology Tralee
TR  Trinity College
WD  Waterford Institute of Technology
