code,year,points,college,audition,desc
CK111,2002,400, University College Cork (NUI),False, Early Childhood Studies
CK110,2002,375, University College Cork (NUI),False, Language Cultural Studies Spanish
CK112,2002,425, University College Cork (NUI),False, Drama and Theatre Studies
DC132,2002,475, Dublin City University,False, Journalism
AC120,2002,175, American College,False, International Business
GY203,2002,370, National University of Ireland Galway,False, Commerce with German
GY202,2002,490, National University of Ireland Galway,False, Commerce with French
GY201,2002,425, National University of Ireland Galway,False, Commerce
GY206,2002,395, National University of Ireland Galway,False, Business Information Systems
GY205,2002,355, National University of Ireland Galway,False, Commerce with Italian
GY204,2002,390, National University of Ireland Galway,False, Commerce with Spanish
SG446,2002,nan, Institute of Technology Sligo,False," Archaeology offers 
"
SG445,2002,250, Institute of Technology Sligo,False, Pharmaceutical Science
SG441,2002,280, Institute of Technology Sligo,False, Environmental Science Tech
MH101,2002,365, Maynooth University,False, Arts
MH103,2002,33, Maynooth University,False, Music
MH102,2002,370, Maynooth University,False, Finance
MH105,2002,350, Maynooth University,False, German and Historical Studies
MH104,2002,350, Maynooth University,False, French and Historical Studies
MH107,2002,410, Maynooth University,False, Social Science
MH106,2002,515, Maynooth University,False, Psychology
LM059,2002,nan, University of Limerick,False," Computer Systems with French offers 
"
LM051,2002,290, University of Limerick,False, Computer Systems
LM050,2002,400, University of Limerick,False, Business Studies
LM053,2002,390, University of Limerick,False, BusinessGerman
LM052,2002,420, University of Limerick,False, BusinessFrench
LM055,2002,480, University of Limerick,False, BusinessJapanese
LM054,2002,420, University of Limerick,False, BusinessSpanish
GA319,2002,250, Galway-Mayo Institute of Technology,False, HotelCatering Mgt
MH202,2002,330, Maynooth University,False, Biotechnology
PD101,2002,440, St Patrick's Drumcondra,False, Drumcondra
PD102,2002,400, St Patrick's Drumcondra,False, DrumcondraGael
PD103,2002,390, St Patrick's Drumcondra,False, DrumBA Humanities
MH206,2002,535, Maynooth University,False, Theoretical Physics and Mathematics
MH207,2002,400, Maynooth University,False, Computational Biology Bioinformatics
MH204,2002,430, Maynooth University,False, Physics with Astrophysics
MH205,2002,390, Maynooth University,False, Theoretical Physics Computer Science
MH208,2002,400, Maynooth University,False, Biological Science
TR054,2002,495, Trinity College,False, Occupational Therapy
TR055,2002,490, Trinity College,False, Therapeutic Radiography
TR051,2002,565, Trinity College,False, Medicine
TR052,2002,540, Trinity College,False, Dental Science
TR053,2002,525, Trinity College,False, Physiotherapy
GC450,2002,280, Griffith College,False, Journalism and Media Comms
TR084,2002,485, Trinity College,False, Social Studies Work
LY151,2002,170, Letterkenny Institute of Technology,False, Computing with Data Communications
DB562,2002,240, Dublin Business School & DBS School of Arts,False, Arts Psychology
TI005,2002,230, Tipperary Institute,False, Business Studies EBusiness THURLES
DC163,2002,390, Dublin City University,False, ChemistryFrench
DC162,2002,365, Dublin City University,False, Chemical and Pharmaceutical Sciences
DC161,2002,330, Dublin City University,False, Analytical Science
FR001,2002,430, Froebel College,False, Froebel
DC165,2002,365, Dublin City University,False, Science International
FR002,2002,390, Froebel College,False, FroebelGael
DN024,2002,420, University College Dublin (NUI),False, Sports Management
DN026,2002,460, University College Dublin (NUI),False, Economics Finance
DN021,2002,490, University College Dublin (NUI),False, Business and Legal Studies
DN020,2002,545, University College Dublin (NUI),False, Actuarial and Financial Studies
DN022,2002,140, University College Dublin (NUI),False, Arts Eveningmodular
DN029,2002,535, University College Dublin (NUI),False, Law with French Law
DN001,2002,505, University College Dublin (NUI),False, Architecture
MI006,2002,400, Mary Immaculate College,False, Mary ImmaculateGael
CS001,2002,420, Saint Catherine's Sion Hill ,False, Home Economics
DN050,2002,360, University College Dublin (NUI),False, BA Computer Science
DN051,2002,435, University College Dublin (NUI),False, Economics
DN052,2002,465, University College Dublin (NUI),False, History
DN053,2002,410, University College Dublin (NUI),False, Philosophy
DN054,2002,525, University College Dublin (NUI),False, Psychology
DN057,2002,445, University College Dublin (NUI),False, BA International French
FT472,2002,370, Dublin Institute of Technology,False, Early Child Care and Education
DN059,2002,470, University College Dublin (NUI),False, BA International Spanish
FT471,2002,385, Dublin Institute of Technology,False, Social Care
AC141,2002,205, American College,False, Behavioral Science Psychology
GY101,2002,400, National University of Ireland Galway,False, Arts
GY102,2002,335, National University of Ireland Galway,False, Arts St Angelas
GY103,2002,375, National University of Ireland Galway,False, Arts Public Social Policy
GY104,2002,545, National University of Ireland Galway,False, Arts Psychology
CK701,2002,555, University College Cork (NUI),False, Medicine
CK702,2002,530, University College Cork (NUI),False, Dentistry
CK703,2002,nan, University College Cork (NUI),False," Pharmacy offers 
"
TR018,2002,580, Trinity College,False, Law and French
TR019,2002,540, Trinity College,False, Law and German
TR010,2002,455, Trinity College,False, Computer Science Linguistics and German
TR011,2002,390, Trinity College,False, Computer Science Linguistics and French
TR012,2002,545, Trinity College,False, History and Political Science
TR013,2002,nan, Trinity College,False," Computer Science Linguistics and Irish offers 
"
TR014,2002,490, Trinity College,False, Philosophy and Political Science
DN045,2002,325, University College Dublin (NUI),False, Animal and Crop Production
WD049,2002,330, Waterford Institute of Technology,False, Business studies French
DN044,2002,335, University College Dublin (NUI),False, Agriculture and Environmental Science
AH004,2002,nan, All Hallows,False," Theology and Spirituality offers 
"
DN043,2002,335, University College Dublin (NUI),False, Agribusiness and Rural Development
LM096,2002,375, University of Limerick,False, Physics and Chemistry Teaching
AH001,2002,370, All Hallows,False, Theology and Philosophy
AH002,2002,315, All Hallows,False, Theology and Psychology
DN042,2002,320, University College Dublin (NUI),False, Forestry
CR116,2002,305, Cork Institute of Technology,False, Software Dev Comp Net
DC126,2002,480, Dublin City University,False, Financial and Actuarial Maths
DC125,2002,380, Dublin City University,False, Mathematical Sciences
CR115,2002,nan, Cork Institute of Technology,False," Software Development with German offers 
"
CR112,2002,450, Cork Institute of Technology,False, Multimedia
DC122,2002,340, Dublin City University,False, Computational Linguistics
DC121,2002,350, Dublin City University,False, Computer Applications
CR111,2002,260, Cork Institute of Technology,False, Computerised Instrument Systems
DN040,2002,350, University College Dublin (NUI),False, Food Science
TA110,2002,210, Institute of Technology Tallaght,False, European Studies
AS001,2002,455, St. Angela`s College,False, Home Econ Biology
AS002,2002,415, St. Angela`s College,False, Home Econ Catechetics
DC192,2002,325, Dublin City University,False, Telecomm Engineering
DC193,2002,315, Dublin City University,False, Mechatronics
DC191,2002,325, Dublin City University,False, Electronic Engineering
DC196,2002,320, Dublin City University,False, Manufact EngineerBus Studies
DC197,2002,325, Dublin City University,False, Medical Mechanical Engineering
DC194,2002,345, Dublin City University,False, Electronic Systems
