AL801  Software Design Game Development or Cloud Computi   300                                          
AL810  Quantity Surveying                                   315                                          
AL820  Mechanical and Polymer Engineering                   295                                          
AL830  General Nursing                                      425*                                         
AL831  Mature Applicants General Nursing                    #181                                         
AL832  Psychiatric Nursing                                  375*                                         
AL833  Mature Applicants Psychiatric Nursing                #169                                         
AL836  Health Science with Nutrition                        350                                          
AL837  Sports Science with Exercise Physiology              360                                          
AL838  Biotechnology                                        270      270                                 
AL840  Pharmaceutical Science                               255                                          
AL841  Athletic and Rehabilitation Therapy                  410                                          
AL842  Bioveterinary Science                                325                                          
AL843  Physical Activity and Health                         345                                          
AL850  Business                                             300                                          
AL851  Business and Law                                     300                                          
AL852  Accounting with optional placement                 290                                          
AL854  Business Psychology                                  305                                          
AL860  Social Care Practice                                 300                                          
AL861  Animation and Illustration Portfolio               #565                                         
PC405  Citizenship and Community Studies                    300      250                                 
PC410  Humanities                                           305      280                                 
PC411  English and History                                  300                                          
CW008  Applied Humanities Wexford                                                                      
CW018  Business Wexford                                   255                                          
CW028  Early Childhood Education and Care Wexford         265                                          
CW038  Art Wexford  Portfolio                            #700                                         
CW068  Applied Social Studies Professional Social Care    270                                          
CW078  Sustainable Farm Management and Agribusiness Wexf   320                                          
CW088  Visual Communications and Design Wexford           265                                          
CW098  Culture and Heritage Studies Wexford               310                                          
CW108  Biosciences with Bioforensics or Biopharmaceutical   295                                          
CW168  Environmental Science                                290                                          
CW178  Sport Science                                        410                                          
CW188  Sports Rehabilitation and Athletic Therapy           445                                          
CW198  Strength and Conditioning                            400                                          
CW208  Computer Games Development                           290                                          
CW238  Software Development                                 290                                          
CW248  Computer Systems Management                          300                                          
CW258  Cybercrime and IT Security                           315                                          
CW438  Construction                                         260                                          
CW468  Architectural Technology                             270                                          
CW478  Civil Engineering                                    395                                          
CW548  Mechanical Engineering                               335                                          
CW558  Electronic Systems                                   290                                          
CW568  Aero Engineering                                     395                                          
CW578  TV and Media Production                              365                                          
CW708  Law  LLB                                            300                                          
CW728  Product Design Innovation                            300                                          
CW748  Early Childhood Education and Care                   270                                          
CW758  Applied Social Studies Professional Social Care    295                                          
CW788  Youth and Community Work Interview                 #700                                         
CW808  Media and Public Relations                           270                                          
CW858  Sport Management and Coaching Options GAA  Rugby   #700                                         
CW908  Business                                             270                                          
CW938  Business with Law                                    290                                          
CW948  Accounting                                           317                                          
CR105  Chemical and Biopharmaceutical Engineering           430                                          
CR106  Software Development                                 380                                          
CR108  Mechanical Engineering                               415                                          
CR109  Structural Engineering                               375                                          
CR112  Multimedia                                           375      365                                 
CR116  Software Development and Computer Networking         330                                          
CR121  Music at CIT Cork School of Music                    #620                                         
CR125  Popular Music Electric Bass Guitar at CIT Cork Sc   #675                                         
CR126  Popular Music Drums at CIT Cork School of Music     #770                                         
CR127  Popular Music Electric Guitar at CIT Cork School    #830     #680                                
CR128  Popular Music Keyboards at CIT Cork School of Mus   #825     #795                                
CR129  Popular Music Voice at CIT Cork School of Music     #900     #890                                
CR150  Business Information Systems                         390      385                                 
CR210  Contemporary Applied Art Ceramics  Glass  Textile   #1000                                        
CR220  Fine Art at CIT Crawford College of Art and Design   #710                                         
CR305  Physical Sciences Common Entry                     305                                          
CR310  IT Management                                        320                                          
CR312  Web Development                                      320                                          
CR320  Biomedical Science  Offered jointly by CIT and UC   545*                                         
CR325  Pharmaceutical Biotechnology                         360                                          
CR330  Herbal Science                                       340                                          
CR333  Nutrition and Health Science                         380                                          
CR335  Biological Sciences Common Entry                   400                                          
CR340  Analytical Chemistry with Quality Assurance          305                                          
CR360  Instrument Engineering                               300                                          
CR365  Environmental Science and Sustainable Technology     310                                          
CR400  Accounting                                           325                                          
CR420  Marketing                                            320                                          
CR425  International Business with Language                 330                                          
CR500  Engineering Common Entry                           410                                          
CR510  Sustainable Energy                                   310                                          
CR520  Biomedical Engineering                               430                                          
CR560  Architectural Technology                             300                                          
CR565  Interior Architecture                                315                                          
CR570  Quantity Surveying                                   280                                          
CR572  Construction Management                              245                                          
CR580  Electrical Engineering                               315                                          
CR590  Electronic Engineering                               315                                          
CR600  Visual Communications                                #630                                         
CR660  Tourism                                              265                                          
CR700  Theatre and Drama Studies at CIT Cork School of Mu   #800     #800                                
CK101  Arts  3 years                                       355                                          
CK102  Social Science                                       425                                          
CK104  Arts with Music  3 years or 4 years BMus or Inte   #390                                         
CK105  Film and Screen Media  3 years or 4 years Intern   430                                          
CK106  Applied Psychology                                   495      490                                 
CK107  Geographical and Archaeological Sciences  3 or 4    340      330                                 
CK108  Arts International  4 years with subject grouping   465                                          
CK109  English  3 years or 4 years International Pathwa   400                                          
CK110  World Languages                                      470                                          
CK111  Early Years and Childhood Studies                    395                                          
CK112  Drama and Theatre Studies  3 years or 4 years In   #365     #325                                
CK113  Criminology  3 years or 4 years International Pa   435      430                                 
CK114  Social Science Youth and Community Work  3 year   #                                            
CK115  Social Work  Mature Applicants only                 #                                            
CK116  Sports Studies and Physical Education                490                                          
CK117  Economics Transformational Learning  3 or 4 yea   430                                          
CK118  Digital Humanities and Information Tech  3 or 4 y   375                                          
CK201  Commerce                                             460                                          
CK202  Accounting                                           455                                          
CK203  Business Information Systems                         465                                          
CK204  Finance                                              515                                          
CK205  Commerce International with French                 480                                          
CK206  Commerce International with German                 495                                          
CK207  Commerce International with Italian                430                                          
CK208  Commerce International with Hispanic Studies       460                                          
CK209  Commerce International with Irish                  500                                          
CK210  Government                                           340                                          
CK211  Commerce International with Chinese Studies        400                                          
CK301  Law Pathways  3 years or 4 years                  490                                          
CK302  Law and French                                       505                                          
CK304  Law and Irish                                        515                                          
CK307  Law and Business                                     530                                          
CK401  Computer Science                                     435                                          
CK402  Biological and Chemical Sciences                     480                                          
CK404  Biological  Earth and Environmental Sciences         430      425                                 
CK405  Genetics                                             480                                          
CK406  Chemical Sciences                                    460                                          
CK407  Mathematical Sciences                                560                                          
CK408  Physics and Astrophysics                             525                                          
CK502  Food Marketing and Entrepreneurship                  440                                          
CK504  Nutritional Sciences                                 510                                          
CK505  Food Science                                         465                                          
CK506  International Development and Food Policy            375                                          
CK600  Engineering                                          490                                          
CK606  Architecture  Offered jointly by UCC and CIT        450      445                                 
CK701  Medicine Undergraduate Entry                       #726                                         
CK702  Dentistry                                            585      580*                                
CK703  Pharmacy                                             565      560*                                
CK704  Occupational Therapy                                 525                                          
CK705  Speech and Language Therapy                          515                                          
CK706  Public Health                                        415                                          
CK710  General Nursing                                      445*                                         
CK711  Mature Applicants General Nursing                    #174*                                        
CK712  Childrens and General Nursing Integrated          515      505*                                
CK713  Mature Applicants Childrens and General Nursing                                                 
CK720  Mental Health Nursing                                420                                          
CK721  Mature Applicants Mental Health Nursing              #170                                         
CK730  Intellectual Disability Nursing                      425                                          
CK731  Mature Applicants Intellectual Disability Nursing                                                 
CK740  Midwifery                                            445*     445                                 
CK741  Mature Applicants Midwifery                                                                       
CK791  Medicine Graduate Entry                            #57*     #57*                                
AC120  International Business                               255      255                                 
AC137  Liberal Arts                                         310      295                                 
CT125  Information Technology                               310                                          
CM001  Education  Primary Teaching                         460*                                         
CM002  Education  Primary Teaching  Gaeltacht Applicant   #420                                         
CM010  Education Studies                                    320                                          
CM020  Early Childhood Education                            345                                          
DB500  Computing                                            290      240                                 
DB512  Business Studies                                     275      215                                 
DB514  Business Studies  Law                              260                                          
DB515  Business Studies  Human Resource Management        235      235                                 
DB516  Financial Services                                                                                
DB517  Marketing  Event Management                        275      230                                 
DB518  Marketing  Digital Media                           295      250                                 
DB520  Business Studies with work placement               265                                          
DB521  Accounting and Finance                               235      235                                 
DB524  Business Information Systems                         315                                          
DB525  Marketing  Digital Media and Cloud Computing       245      210                                 
DB526  Business Information Systems  Cloud Computing      465      255                                 
DB531  Marketing                                            275      265                                 
DB561  Arts General                                       250      250                                 
DB562  Psychology                                           240      225                                 
DB565  Journalism                                           260      260                                 
DB566  Social Science                                       240      240                                 
DB567  Film                                                 235      165                                 
DB568  Law                                                  245      180                                 
DB569  Business  Psychology                               235                                          
DC001  Education  Early Childhood Education                400                                          
DC002  Education  Primary Teaching                         465*                                         
DC003  Education  Primary Teaching  Gaeltacht Applicant   #440                                         
DC004  Education  Primary Teaching Church of Ireland Ce   #435                                   
DC009  Arts Joint Honours  Humanities                    385                                          
DC010  Post Primary Teacher Education  Religious Educati   400                                          
DC011  Post Primary Teacher Education  Religious Educati   380                                          
DC012  Post Primary Teacher Education  Religious Educati   #370                                         
DC110  Business Studies International                       465                                          
DC111  Business Studies                                     470                                          
DC112  Global Business France                             500                                          
DC113  Global Business Germany                            470                                          
DC114  Global Business Spain                              515                                          
DC115  Accounting and Finance                               485                                          
DC116  Global Business USA                                590                                          
DC117  Aviation Management  Aviation Management with Pil   460                                          
DC118  Gn agus Gaeilge  Business and Irish                350                                          
DC119  Global Business Canada                             545                                          
DC120  Enterprise Computing                                 370                                          
DC121  Computer Applications                                400                                          
DC122  Computational ProblemSolving and Software Develop   #345                                         
DC123  Data Science                                                                                      
DC126  Actuarial Mathematics                                515                                          
DC127  Common Entry into Actuarial and Financial Mathemat   500                                          
DC131  Communication Studies                                445                                          
DC132  Journalism                                           420                                          
DC133  Multimedia                                           450                                          
DC155  Applied Language and Translation Studies             375                                          
DC161  Analytical Science                                   470                                          
DC162  Chemical and Pharmaceutical Sciences                 490                                          
DC166  Environmental Science and Health                     425                                          
DC167  Physics with Astronomy                               415                                          
DC168  Genetics and Cell Biology                            485                                          
DC171  Applied Physics                                      415                                          
DC173  Physics with Biomedical Sciences                     415                                          
DC181  Biotechnology                                        480                                          
DC190  Electronic and Computer Engineering                  420                                          
DC193  Mechatronic Engineering                              405                                          
DC195  Mechanical and Manufacturing Engineering             410                                          
DC197  Biomedical Engineering                               405                                          
DC200  Common Entry into Engineering Undenominated Entry   405                                          
DC201  Common Entry into Science Undenominated Entry      480                                          
DC202  Sport Science and Health                             495                                          
DC203  Science Education                                    430                                          
DC204  Athletic Therapy and Training                        510                                          
DC205  Physical Education with Biology                      500                                          
DC206  Physical Education with Mathematics                  480                                          
DC208  Psychology                                           505                                          
DC209  Health and Society                                   425                                          
DC215  General Nursing                                      450                                          
DC216  Psychiatric Nursing                                  375                                          
DC217  Intellectual Disability Nursing                      375                                          
DC218  Childrens and General Nursing Integrated          485                                          
DC225  Mature Applicants General Nursing                                                                 
DC226  Mature Applicants Psychiatric Nursing                                                             
DC227  Mature Applicants Intellectual Disability Nursing                                                 
DC228  Mature Applicants Childrens and General Nursing                                                 
DC230  Economics  Politics and Law                          400                                          
DC231  International Relations                              385                                          
DC232  Law and Society BCL                                450                                          
DC235  Education and Training  Daytime or Flexible Deliv   315                                          
DC238  Contemporary Culture and Society                     345                                          
DC239  Gaeilge agus IriseoireachtIrish and Journalism      345                                          
DC240  Marketing  Innovation and Technology                 470                                          
DC291  Arts Joint Honours  Media Studies                 385                                          
DC292  Arts Joint Honours  Law                           385                                          
DC293  Arts Joint Honours  International Languages       390                                          
DC294  Arts Joint Honours  Gaeilge                       390                                          
DC295  Arts Joint Honours  Politics                      385                                          
DT001  Product Design                                       435      430                                 
DT021  ElectricalElectronic Engineering                    425                                          
DT023  Manufacturing and Design Engineering                 415                                          
DT028  Transport Operations and Technology                  270                                          
DT035  Electrical Services and Energy Management            300                                          
DT066  Engineering General Entry                          380                                          
DT081  Computer and Communications Engineering              430                                          
DT101  Architecture                                         #605                                         
DT106  Planning and Environmental Management                300                                          
DT110  Property Economics Valuation Surveying             350                                          
DT111  Quantity Surveying and Construction Economics        350                                          
DT112  Geographic Science                                   310                                          
DT117  Construction Management                              325                                          
DT175  Architectural Technology                             365                                          
DT201  Science General Entry                              470                                          
DT203  Forensic and Environmental Chemistry                 325                                          
DT204  Biomedical Science                                   500                                          
DT205  Mathematical Sciences                                305                                          
DT206  Biomedical and Molecular Diagnostics                 420                                          
DT211  Computer Science Infrastructure                    360                                          
DT220  Industrial Mathematics                               285      285                                 
DT221  Physics with Energy and Environment                  350                                          
DT222  Physics Technology                                   350                                          
DT223  Human Nutrition and Dietetics                        550      545                                 
DT224  Optometry                                            490                                          
DT225  Public Health Nutrition                              405                                          
DT227  Science with Nanotechnology                          300                                          
DT228  Computer Science                                     450                                          
DT229  Clinical Measurement Science                         465                                          
DT235  Physics with Medical Physics and Bioengineering      330                                          
DT255  Information SystemsInformation Technology Mature   350                                          
DT282  Computer ScienceInternational                      350                                          
DT299  Chemical Sciences with Medicinal Chemistry           395                                          
DT302  Business Analytics                                   360                                          
DT321  Business and Law                                     470                                          
DT341  Marketing                                            405                                          
DT343  Retail and Services Management                       300                                          
DT354  Business Computing                                   350                                          
DT358  Logistics and Supply Chain Management                300                                          
DT365  Business and Management                              450                                          
DT366  Accounting and Finance                               430                                          
DT398  Human Resource Management                            375                                          
DT399  Economics and Finance                                445                                          
DT401  International Hospitality Management                 300                                          
DT405  Culinary Science                                     330                                          
DT407  Culinary Arts                                        300                                          
DT412  Tourism Marketing                                    290                                          
DT413  Event Management                                     365                                          
DT416  Culinary Entrepreneurship                            290                                          
DT417  Bar Studies Management and Entrepreneurship        280                                          
DT420  Nutraceuticals in Health and Nutrition               430                                          
DT421  Food Innovation                                      375                                          
DT422  Pharmaceutical Healthcare                            390                                          
