                                             July 2016 Round A Mature Nursing/Midwifery
Course Code           Course Title                                                                                                      Score
AL831                 Mature Applicants General Nursing                                                                                 185*
AL833                 Mature Applicants Psychiatric Nursing                                                                             177
AS111                 Mature Applicants General Nursing                                                                                 186*
AS131                 Mature Applicants Intellectual Disability Nursing                                                                 167
CK711                 Mature Applicants General Nursing                                                                                 174*
CK713                 Mature Applicants Children`s and General Nursing (Integrated)                                                     185*
CK721                 Mature Applicants Mental Health Nursing                                                                           177
CK731                 Mature Applicants Intellectual Disability Nursing                                                                 169
CK741                 Mature Applicants Midwifery                                                                                       191
DC225                 Mature Applicants General Nursing                                                                                 171
DC226                 Mature Applicants Psychiatric Nursing                                                                             160
DC227                 Mature Applicants Intellectual Disability Nursing                                                                 148
DC228                 Mature Applicants Children's and General Nursing (Integrated)                                                     174
DK871                 Mature Applicants General Nursing                                                                                 172
DK873                 Mature Applicants Intellectual Disability Nursing                                                                 140
DK875                 Mature Applicants Psychiatric Nursing                                                                             156*
DK878                 Mature Applicants Midwifery                                                                                       181
DN460                 Mature Applicants General Nursing                                                                                 170*
DN461                 Mature Applicants Children's and General Nursing (Integrated)                                                     183*
DN462                 Mature Applicants Midwifery                                                                                       181
DN463                 Mature Applicants Mental Health Nursing                                                                           170
GA881                 Mature Applicants General Nursing - Mayo Campus                                                                   175*
GA883                 Mature Applicants Psychiatric Nursing - Mayo Campus                                                               172
GY525                 Mature Applicants General Nursing (Galway and Portiuncula)                                                        182
GY526                 Mature Applicants Psychiatric Nursing                                                                             175
GY527                 Mature Applicants Midwifery                                                                                       178
LM151                 Mature Applicants General Nursing                                                                                 181
LM153                 Mature Applicants Mental Health Nursing                                                                           167*
LM155                 Mature Applicants Intellectual Disability Nursing                                                                 166*
LM157                 Mature Applicants Midwifery                                                                                       185
LY938                 Mature Applicants General Nursing                                                                                 177
LY948                 Mature Applicants Psychiatric Nursing                                                                             171
LY958                 Mature Applicants Intellectual Disability Nursing                                                                 149
TL892                 Mature Applicants General Nursing                                                                                 169*
TL893                 Mature Applicants Mental Health Nursing                                                                           170
TR092                 Mature Applicants General Nursing (Meath and St James's)                                                          173
TR094                 Mature Applicants General Nursing (Adelaide School of Nursing)                                                    177
TR096                 Mature Applicants Mental Health Nursing                                                                           154*
TR098                 Mature Applicants Intellectual Disability Nursing                                                                 152*
TR912                 Mature Applicants Children`s and General Nursing (Integrated)                                                     179
TR914                 Mature Applicants Midwifery                                                                                       174
WD816                 Mature Applicants General Nursing                                                                                 188
WD817                 Mature Applicants Psychiatric Nursing                                                                             176
WD820                 Mature Applicants Intellectual Disability Nursing                                                                 169*

The details given are for general information only and do not form part of any contract. They are not intended for use in determining whether any
individual applicant is or is not entitled to an offer of a higher education place. * indicates that not all on this points score were offered places

