AL031  Computer and Software Engineering                    210      320      15                         
AL032  Polymer Technology                                   240      345      7                          
AL033  Toxicology                                           265      325      15                         
PC410  Humanities                                           310      345      43                         
CW046  Computer Networking                                  260      310      20                         
CW100  International Business with French                   280      335      22                         
CW101  International Business with German                   215      325      5                          
CW105  Early Childhood Studies                              345      365      14                         
CR105  Chemical Engineering                                 435      470      34                         
CR106  Computer Applications                                240      350      21                         
CR107  Electronic Engineering                               275      370      15                         
CR108  Mechanical Engineering                               370      415      39                         
CR109  Structural Engineering                               420      440      49                         
CR111  Computerised Instrument Systems                      260      340      14                         
CR112  Multimedia                                           450      480      24                         
CR114  Software Development with French                     No offers                                    
CR115  Software Development with German                     No offers                                    
CR116  Software Dev  Comp Net                              305      360      38                         
CR121  Music                                                775**    915      24                         
CK101  Arts                                                 400      430      601                        
CK102  Social Science                                       400      425      74                         
CK103  Music                                                360#     405#     15                         
CK104  ArtsMusic                                           415#     480#     29                         
CK105  European Studies                                     330      415      26                         
CK106  Applied Psychology                                   520      535      30                         
CK107  Language  Cultural Studies  French                 340      380      23                         
CK108  Language  Cultural Studies  German                 290      360      15                         
CK109  Language  Cultural Studies  Italian                300      350      14                         
CK110  Language  Cultural Studies  Spanish                375      410      10                         
CK111  Early Childhood Studies                              400      420      23                         
CK112  Drama and Theatre Studies                            425      470      17                         
CK201  Commerce                                             445*     470      133                        
CK202  Accounting                                           460*     500      59                         
CK203  Business Information Systems                         425      465      123                        
CK204  Finance                                              445      460      58                         
CK205  Commerce with French                                 445      495      20                         
CK206  Commerce  with German                                395      430      17                         
CK207  Commerce  with Italian                               370      410      14                         
CK208  Commerce  with Spanish                               415      435      20                         
CK209  Commerce  with Irish                                 435      480      10                         
CK210  Government and Public Policy                         425      440      47                         
CK301  Law                                                  500*     520      90                         
CK302  Law and French                                       515*     540      17                         
CK303  Law and German                                       475      500      15                         
CK304  Law and Irish                                        495*     510      6                          
CK401  Computer Science                                     300      365      117                        
CK402  Biological and Chemical Sciences                     390      460      188                        
CK404  Environmental Sciences                               370      405      66                         
CK405  Genetics                                             425      475      22                         
CK406  Chemical Sciences                                    365      415      29                         
CK407  Mathematical Sciences                                495      560      25                         
CK408  Physics and Astrophysics                             485      540      19                         
CK501  Food Business                                        355      375      46                         
CK504  Nutritional Sciences                                 415      445      29                         
CK505  Food Science and Technology                          345      380      37                         
CK601  Process Engineering                                  475      510      22                         
CK602  Civil and Environmental Engineering                  485*     520      60                         
CK603  Electrical and Electronic Engineering                335      470      57                         
CK604  Microelectronic Engineering                          345      440      8                          
CK701  Medicine                                             555*     570      56                         
CK702  Dentistry                                            530      545      26                         
CK703  Pharmacy                                             No offers                                    
AH001  Theology and Philosophy                              370      370      1                          
AH002  Theology and Psychology                              315      340      9                          
AH003  Theology and English Literature                      305      330      16                         
